Wavelength (nm);[buf]-005-1-1chaps;[buf]-005-1-1chaps1;[buf]-5-1-1;[buf]-5-1-2; [buf]-10.1; [buf]-10.1 1; [buf]-10.2; [buf]-10.2 1; [buf]-10.2 2; [buf]-Buf; [buf]-10.11;A [H20}-buf;A [buf}-buf;A [buf}-buf 1;A [buf}-10.21;A [buf}-10.22;A [buf}-10.23;A [Buf]-9.1;A [Buf]-9.2;A [Buf]-9.3;A [Buf];A [Buf]-1.11;A [Buf]-1.12;A [Buf]-1.13;A [Buf]-1.13 1;A [Buf]-Buf;A [Buf]-2.11;A [Buf]-2.12;A [Buf]-2.13
200;5,313;3,696;-0,161;6,454;0,049;2,198;-0,828;1,396;-0,447;3,045;3,235;33,63;36,18;0,136;-3,696;0,853;0,027;-0,768;-1,740;0,377;31,38;1,756;0,615;3,401;-0,031;32,78;-0,047;-0,961;0,108
201;3,774;4,365;-2,545;2,150;0,391;4,170;-2,129;0,288;0,096;1,834;3,139;32,46;33,53;-3,422;-4,253;-0,502;-0,245;-1,717;-1,254;0,478;32,76;0,774;0,702;-0,108;-0,008;32,52;-1,261;-0,622;-0,151
202;2,295;5,141;-4,337;0,108;1,467;1,872;-2,258;-2,220;0,827;0,875;1,268;33,12;30,85;1,441;-3,606;-0,711;-1,669;-1,788;-1,046;-0,382;32,36;0,335;11,95;-1,594;-0,018;33,04;-1,656;-1,759;-0,142
203;2,469;5,526;-4,029;-3,216;2,298;-1,357;-3,997;-3,885;-1,110;0,250;-0,015;33,02;31,67;4,303;-3,715;-0,581;-2,158;-2,422;-1,427;-1,151;33,91;-1,085;12,26;-2,812;-0,016;34,02;-2,967;-1,875;0,043
204;1,671;5,455;-1,853;-1,874;-0,364;-3,562;-5,062;-4,434;-4,481;1,937;1,803;34,48;34,59;8,529;-1,616;0,757;-1,054;-0,669;-0,599;0,312;34,79;1,360;11,83;-1,271;-0,019;34,61;-3,185;-2,357;0,606
205;-0,310;3,834;-1,289;0,983;-2,387;-2,880;-4,429;-2,060;-5,627;2,140;2,875;34,79;37,38;3,210;-2,600;-1,611;-0,724;-0,294;1,196;-0,853;34,77;0,846;1,981;-0,551;-0,022;34,44;-4,215;-3,029;-1,474
206;0,901;3,661;-2,695;2,264;-0,299;0,388;-1,385;-0,174;-2,870;1,216;2,804;35,44;38,26;2,097;-2,229;-0,935;-0,886;0,133;2,924;0,708;33,96;0,016;1,410;-0,417;-0,019;35,66;-3,009;-2,565;-2,346
207;2,470;1,866;-1,082;2,168;1,349;-0,177;-1,360;-0,655;-0,727;0,540;1,281;35,35;39,36;-0,535;-1,897;-0,912;-1,603;0,301;2,799;-0,672;34,42;1,467;1,445;-1,263;-0,029;36,15;-2,396;-2,948;-2,431
208;2,813;1,096;1,692;-1,473;0,819;1,024;-2,267;-2,549;0,844;1,895;1,266;36,57;39,52;-5,804;-5,451;-5,734;-7,229;1,077;2,456;1,517;34,60;2,731;0,718;-1,237;-0,016;38,31;-0,860;-2,109;-1,395
209;0,363;0,475;0,593;-2,038;-0,862;0,252;-2,506;-3,363;1,473;1,247;1,323;37,89;38,90;-1,993;-1,074;-6,410;-7,254;0,986;3,265;1,559;34,72;4,329;3,009;-0,968;-0,016;38,60;-2,521;-2,724;-2,797
